TDate,TTime,ETFID,NAVBid1,NAVAsk1,NAVTrade,MktBid1,MktAsk1,MktTrade,VolumeBid1,VolumeAsk1,VolumeTrade
2023-02-22,09:02:07.263000,00632R,5.4041,5.4046,5.4046,5.4,5.41,5.4,25567,5008,122
2023-02-22,09:02:07.263000,00878,16.9434,16.9778,16.964,17.0,17.01,17.01,4971,340,212
2023-02-22,09:02:12.263000,00632R,5.4044,5.4052,5.4052,5.4,5.41,5.41,25654,5535,604
2023-02-22,09:02:12.263000,00878,16.9434,16.9794,16.9651,17.0,17.01,17.01,5180,524,65
2023-02-22,09:02:17.263000,00632R,5.4059,5.4064,5.4062,5.4,5.41,5.41,27261,843,758
2023-02-22,09:02:17.263000,00878,16.9455,16.9785,16.9609,17.0,17.01,17.01,5278,460,75
2023-02-22,09:02:22.277000,00632R,5.4047,5.4056,5.4052,5.4,5.41,5.41,25825,1370,115
2023-02-22,09:02:22.277000,00878,16.9429,16.9779,16.9595,17.0,17.01,17.01,5425,428,40
2023-02-22,09:02:27.293000,00632R,5.4052,5.4061,5.4054,5.4,5.41,5.41,25860,1995,281
2023-02-22,09:02:27.293000,00878,16.9429,16.9786,16.9585,17.0,17.01,17.01,5531,367,69
2023-02-22,09:02:32.293000,00632R,5.4059,5.4067,5.4067,5.4,5.41,5.41,27362,1637,441
2023-02-22,09:02:32.293000,00878,16.9412,16.978,16.9566,17.0,17.01,17.01,5702,990,79
2023-02-22,09:02:37.293000,00632R,5.4067,5.4072,5.407,5.4,5.41,5.41,27910,924,767
2023-02-22,09:02:37.293000,00878,16.9421,16.9771,16.9563,17.0,17.01,17.01,5808,939,54
2023-02-22,09:02:42.310000,00632R,5.407,5.4075,5.4073,5.4,5.41,5.41,28478,339,646
2023-02-22,09:02:42.310000,00878,16.9421,16.9763,16.958,17.0,17.01,17.01,5941,894,46
2023-02-22,09:02:47.327000,00632R,5.407,5.4075,5.4073,5.41,5.42,5.41,272,26359,356
2023-02-22,09:02:47.327000,00878,16.9429,16.9787,16.9574,17.0,17.01,17.01,6097,852,136
2023-02-22,09:02:52.340000,00632R,5.4067,5.4072,5.407,5.41,5.42,5.41,866,26864,200
2023-02-22,09:02:52.340000,00878,16.9429,16.9787,16.9595,17.0,17.01,17.01,6202,1281,84
2023-02-22,09:02:57.340000,00632R,5.4062,5.4069,5.4067,5.41,5.42,5.41,1102,26872,180
2023-02-22,09:02:57.340000,00878,16.9438,16.9787,16.9601,17.0,17.01,17.01,6263,1251,200
2023-02-22,09:03:02.357000,00632R,5.4076,5.4082,5.4076,5.41,5.42,5.42,1900,26765,129
2023-02-22,09:03:02.357000,00878,16.9417,16.9794,16.9566,17.0,17.01,17.01,6514,1074,191
2023-02-22,09:03:07.357000,00632R,5.4076,5.4085,5.408,5.41,5.42,5.41,1878,26275,638
2023-02-22,09:03:07.357000,00878,16.9433,16.9826,16.9584,17.0,17.01,17.01,6605,706,57
2023-02-22,09:03:12.357000,00632R,5.4083,5.4088,5.4086,5.41,5.42,5.42,2472,26130,215
2023-02-22,09:03:12.357000,00878,16.9451,16.9844,16.9625,17.0,17.01,17.01,6714,862,58
2023-02-22,09:03:17.357000,00632R,5.4083,5.4088,5.408,5.41,5.42,5.42,2983,25954,190
2023-02-22,09:03:17.357000,00878,16.9456,16.9844,16.9606,17.0,17.01,17.01,6740,871,118
2023-02-22,09:03:22.357000,00632R,5.4091,5.4099,5.4091,5.41,5.42,5.42,6984,23868,1101
2023-02-22,09:03:22.357000,00878,16.9461,16.9835,16.9626,17.0,17.01,17.01,6678,798,232
2023-02-22,09:03:27.357000,00632R,5.4097,5.4103,5.4097,5.41,5.42,5.41,10907,23834,1183
2023-02-22,09:03:27.357000,00878,16.9433,16.9796,16.9616,17.0,17.01,17.01,6700,1226,182
2023-02-22,09:03:32.370000,00632R,5.4092,5.4103,5.41,5.41,5.42,5.42,6667,23235,661
2023-02-22,09:03:32.370000,00878,16.945,16.9827,16.9654,17.0,17.01,17.01,6805,639,46
2023-02-22,09:03:37.387000,00632R,5.4092,5.41,5.41,5.41,5.42,5.42,7687,22652,752
2023-02-22,09:03:37.387000,00878,16.9462,16.9833,16.9631,17.0,17.01,17.01,6897,506,149
2023-02-22,09:03:42.417000,00632R,5.4104,5.4109,5.4104,5.41,5.42,5.41,12767,22614,185
2023-02-22,09:03:42.417000,00878,16.9456,16.9832,16.9607,17.0,17.01,17.01,6875,391,282
2023-02-22,09:03:47.417000,00632R,5.4097,5.4106,5.4104,5.41,5.42,5.42,12699,22550,210
2023-02-22,09:03:47.417000,00878,16.9448,16.9851,16.9623,17.0,17.01,17.01,7058,237,162
2023-02-22,09:03:52.433000,00632R,5.41,5.4106,5.4107,5.41,5.42,5.42,12604,21931,733
2023-02-22,09:03:52.433000,00878,16.9439,16.9817,16.9612,17.0,17.01,17.01,7197,386,103
2023-02-22,09:03:57.450000,00632R,5.41,5.4109,5.41,5.41,5.42,5.42,13115,21920,50
2023-02-22,09:03:57.450000,00878,16.943,16.9783,16.959,17.0,17.01,17.01,7183,690,312
2023-02-22,09:04:02.467000,00632R,5.4112,5.4117,5.4112,5.41,5.42,5.42,14691,21367,100
2023-02-22,09:04:02.467000,00878,16.9409,16.9741,16.9566,17.0,17.01,17.01,7325,1119,84
2023-02-22,09:04:07.480000,00632R,5.411,5.412,5.4112,5.41,5.42,5.42,14693,21047,5
2023-02-22,09:04:07.480000,00878,16.9399,16.9752,16.9557,17.0,17.01,17.01,7517,1211,368
2023-02-22,09:04:12.480000,00632R,5.4118,5.4123,5.4121,5.41,5.42,5.41,18660,20678,568
2023-02-22,09:04:12.480000,00878,16.9399,16.9747,16.9556,17.0,17.01,17.01,7550,1504,147
2023-02-22,09:04:17.480000,00632R,5.4121,5.4127,5.4125,5.41,5.42,5.41,18729,20958,6
2023-02-22,09:04:17.480000,00878,16.938,16.974,16.9578,17.0,17.01,17.01,7640,1088,31
2023-02-22,09:04:22.480000,00632R,5.4118,5.4123,5.4118,5.41,5.42,5.41,18717,20711,510
2023-02-22,09:04:22.480000,00878,16.938,16.9751,16.9537,17.0,17.01,17.01,7727,1953,64
2023-02-22,09:04:27.480000,00632R,5.4113,5.4123,5.4115,5.41,5.42,5.42,18766,20888,20
2023-02-22,09:04:27.480000,00878,16.9378,16.9741,16.9531,17.0,17.01,17.01,7864,1949,63
2023-02-22,09:04:32.497000,00632R,5.4113,5.412,5.4118,5.41,5.42,5.42,18766,20899,0
2023-02-22,09:04:32.497000,00878,16.9378,16.9748,16.9493,17.0,17.01,17.01,8010,1884,66
2023-02-22,09:04:37.497000,00632R,5.4116,5.4123,5.4118,5.41,5.42,5.42,18861,20683,100
2023-02-22,09:04:37.497000,00878,16.9371,16.9707,16.95,17.0,17.01,17.01,8121,1845,57
2023-02-22,09:04:42.497000,00632R,5.4116,5.4123,5.4118,5.41,5.42,5.42,18889,20702,31
2023-02-22,09:04:42.497000,00878,16.9371,16.973,16.9489,17.0,17.01,17.01,8197,1806,59
2023-02-22,09:04:47.497000,00632R,5.4118,5.4127,5.4121,5.41,5.42,5.42,19016,20672,47
2023-02-22,09:04:47.497000,00878,16.9368,16.9721,16.9481,17.0,17.01,17.01,8298,1722,96
2023-02-22,09:04:52.510000,00632R,5.4125,5.413,5.4125,5.41,5.42,5.42,19063,20492,25
2023-02-22,09:04:52.510000,00878,16.934,16.97,16.9419,17.0,17.01,17.01,7618,1636,837
2023-02-22,09:04:57.510000,00632R,5.4155,5.4163,5.4163,5.41,5.42,5.42,20001,10343,95
2023-02-22,09:04:57.510000,00878,16.9251,16.9636,16.9366,17.0,17.01,17.01,5011,2242,2793
2023-02-22,09:05:02.527000,00632R,5.4164,5.4175,5.4166,5.41,5.42,5.41,21513,10252,119
2023-02-22,09:05:02.527000,00878,16.9181,16.958,16.933,17.0,17.01,17.01,4560,2308,544
2023-02-22,09:05:07.543000,00632R,5.4173,5.4178,5.4173,5.41,5.42,5.41,39001,9451,853
2023-02-22,09:05:07.543000,00878,16.918,16.9559,16.9303,17.0,17.01,17.01,786,2535,3908
2023-02-22,09:05:12.557000,00632R,5.4182,5.4187,5.4184,5.41,5.42,5.42,40106,8570,1096
2023-02-22,09:05:12.557000,00878,16.9152,16.954,16.9268,17.0,17.01,17.0,273,1524,614
2023-02-22,09:05:17.557000,00632R,5.4171,5.4181,5.4181,5.41,5.42,5.42,40484,8020,553
2023-02-22,09:05:17.557000,00878,16.9127,16.9517,16.9322,16.99,17.0,17.0,1691,497,400
2023-02-22,09:05:22.557000,00632R,5.4167,5.4173,5.4178,5.41,5.42,5.42,26415,7838,178
2023-02-22,09:05:22.557000,00878,16.9127,16.9523,16.933,16.99,17.0,17.0,1856,951,233
2023-02-22,09:05:27.557000,00632R,5.4174,5.4182,5.4176,5.41,5.42,5.42,36589,7696,537
2023-02-22,09:05:27.557000,00878,16.9134,16.9509,16.9268,16.99,17.0,17.0,1870,1755,97
2023-02-22,09:05:32.573000,00632R,5.4179,5.4184,5.4182,5.41,5.42,5.42,41036,7712,67
2023-02-22,09:05:32.573000,00878,16.9118,16.9487,16.9292,16.99,17.0,17.0,1799,1710,162
2023-02-22,09:05:37.573000,00632R,5.4191,5.4202,5.4195,5.41,5.42,5.42,40986,7870,315
2023-02-22,09:05:37.573000,00878,16.9119,16.9478,16.9186,16.99,17.0,17.0,116,1652,1771
2023-02-22,09:05:42.573000,00632R,5.4191,5.42,5.4198,5.41,5.42,5.42,41201,7881,75
2023-02-22,09:05:42.573000,00878,16.9082,16.9472,16.9238,16.99,17.0,17.0,156,1681,78
2023-02-22,09:05:47.573000,00632R,5.4188,5.4193,5.4188,5.41,5.42,5.42,41349,6810,1428
2023-02-22,09:05:47.573000,00878,16.9078,16.9467,16.9235,16.99,17.0,17.0,120,1103,135
2023-02-22,09:05:52.573000,00632R,5.4191,5.4197,5.4195,5.41,5.42,5.42,41354,6673,145
2023-02-22,09:05:52.573000,00878,16.9084,16.9481,16.9251,16.98,16.99,16.99,2084,495,516
