TradeDate,TraderId,TraderNm,strategymainnm,strategysubnm,IAccountId,iaccountnm,gaccountid,CommodityId,CommodityNm,TradeType,DataSource,OldCommodityId,CommodityKind,CurrencyId,ContractSize,ExerciseSize,CashDivAmt,Unit,IsTrade,IssuerId,PricingUnderlyingPrice,BuyShare,BuyAvgP,BuyAmt,SellShare,SellAvgP,SellAmt,InvShare,InvAvgP,Cost,MPrice,MV,UnRealPL,DRealPL,DUnRealPL,DTax,DSettleFee,DCommission,DStkBorrowFee,DInterestCost,DOtherIncome,DCashDiv,DTransferPL,DTradePL,DHTradePL,DBTradePL,MRealPL,MUnRealPL,MTax,MSettleFee,MCommission,MStkBorrowFee,MInterestCost,MOtherIncome,MCashDiv,MTransferPL,MTradePL,MHTradePL,MBTradePL,YRealPL,YUnRealPL,YTax,YSettleFee,YCommission,YStkBorrowFee,YInterestCost,YOtherIncome,YCashDiv,YTransferPL,YTradePL,YHTradePL,YBTradePL,AvailableShare,CashDivAdj,FxRate,FxUnderlyingRate,newIAccountId,NewContractSize,Forex,Strategy,size
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,00633L,碔ü谍タ2,6,Stock,00633L,ETF,NTD,1.0,2.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,41.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,2.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,00663L,瓣籓芖舦タ2,6,Stock,00663L,ETF,NTD,1.0,2.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,101.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,2.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,00664R,瓣籓芖舦は1,6,Stock,00664R,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,-482000,6.12,-2953660.0,6.11,-2945020.0,8640.0,0.0,-33740.0,0.0,0.0,0.0,145.0,-91.15,0.0,0.0,0.0,-33740.0,0.0,0.0,0.0,8640.0,2953.0,396.51,0.0,3131.0,-2098.29,0.0,0.0,0.0,8640.0,0.0,0.0,0.0,8640.0,2953.0,396.51,0.0,5705.0,-2043.29,0.0,0.0,0.0,8640.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,-1.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,00675L,碔ü籓芖舦タ2,6,Stock,00675L,ETF,NTD,1.0,2.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,-139000,45.12,-6272490.0,44.15,-6136850.0,135640.0,0.0,112590.0,0.0,0.0,0.0,468.0,-193.81,0.0,0.0,0.0,112590.0,0.0,0.0,0.0,135640.0,6264.0,399.75,0.0,9521.0,-2240.92,0.0,0.0,0.0,135640.0,0.0,0.0,0.0,135640.0,6264.0,399.75,0.0,9521.0,-2240.92,0.0,0.0,0.0,135640.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,2.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,00676R,碔ü籓芖舦は1,6,Stock,00676R,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,854000,3.365843,2874430.0,-10126000,3.34,-33874650.0,3.36,-34023360.0,-148710.0,0.0,-273170.0,2872.0,578.34,0.0,1606.0,-1037.09,0.0,0.0,0.0,-273170.0,0.0,0.0,0.0,-138690.0,27911.0,5676.16,0.0,14791.0,-14263.71,0.0,0.0,0.0,-138690.0,0.0,0.0,0.0,-148710.0,33730.0,6846.46,0.0,15253.0,-14533.22,0.0,0.0,0.0,-148710.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,-1.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,00685L,竤痲籓芖舦タ2,6,Stock,00685L,ETF,NTD,1.0,2.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,39.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,2.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,LHDU,LHDU,LHD_TW,00686R,竤痲籓芖舦は1,6,Stock,00686R,ETF,NTD,1.0,1.0,0.0,1000,Y,,,0,0.0,0.0,0,0.0,0.0,-50000,3.65,-182500.0,3.64,-182000.0,500.0,0.0,-1000.0,0.0,0.0,0.0,15.0,-6.25,0.0,0.0,0.0,-1000.0,0.0,0.0,0.0,500.0,182.0,34.61,0.0,330.0,-140.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,500.0,182.0,34.61,0.0,345.0,-140.0,0.0,0.0,0.0,500.0,0.0,0.0,0,0.0,1.0,1.0,LHD,1.0,1.0,,-1.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,MXFA3,籓戳砯 ,0,Future,MXFA3,Future,NTD,50.0,50.0,0.0,1,N,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4600.0,0.0,90.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,-4600.0,0.0,0.0,0,0.0,1.0,0.0,LHD,50.0,1.0,,50.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,MXFB3,籓戳砯 ,0,Future,MXFB3,Future,NTD,50.0,50.0,0.0,1,N,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160050.0,-56150.0,1133.0,355.0,532.5,0.0,0.0,0.0,0.0,0.0,-216200.0,0.0,0.0,-160050.0,0.0,1238.0,390.0,585.0,0.0,0.0,0.0,0.0,0.0,-160050.0,0.0,0.0,0,0.0,1.0,0.0,LHD,50.0,1.0,,50.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,MXFC3,籓戳砯 ,0,Future,MXFC3,Future,NTD,50.0,50.0,0.0,1,Y,,,88,15376.97727272,67658700.0,28,15362.464285709999,21507450.0,-2,15393.5,-1539350.0,15375.0,-1537500.0,1850.0,380050.0,68000.0,1740.0,580.0,870.0,0.0,0.0,0.0,0.0,0.0,448050.0,0.0,0.0,395100.0,1850.0,2869.0,940.0,1410.0,0.0,0.0,0.0,0.0,0.0,396950.0,0.0,0.0,395100.0,1850.0,2869.0,940.0,1410.0,0.0,0.0,0.0,0.0,0.0,396950.0,0.0,0.0,0,0.0,1.0,1.0,LHD,50.0,1.0,,50.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,NYFA3,芖50ETF戳砯,0,Future,NYFA3,Future,NTD,10000.0,10000.0,0.0,1,N,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4235700.0,1477300.0,1800.0,375.0,562.5,0.0,0.0,0.0,0.0,0.0,5713000.0,0.0,0.0,0,0.0,1.0,0.0,LHD,10000.0,1.0,,10000.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,NYFB3,芖50ETF戳砯,0,Future,NYFB3,Future,NTD,10000.0,10000.0,0.0,1,N,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4529500.0,-2142500.0,1848.0,385.0,577.5,0.0,0.0,0.0,0.0,0.0,2387000.0,0.0,0.0,4529500.0,0.0,3648.0,760.0,1140.0,0.0,0.0,0.0,0.0,0.0,4529500.0,0.0,0.0,0,0.0,1.0,0.0,LHD,10000.0,1.0,,10000.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,NYFC3,芖50ETF戳砯,0,Future,NYFC3,Future,NTD,10000.0,10000.0,0.0,1,Y,,,0,0.0,0.0,0,0.0,0.0,75,121.422,91066500.0,117.35,88012500.0,-3054000.0,0.0,-1237500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1237500.0,0.0,0.0,-8100.0,-3054000.0,1848.0,385.0,577.5,0.0,0.0,0.0,0.0,0.0,-3062100.0,0.0,0.0,-8100.0,-3054000.0,1848.0,385.0,577.5,0.0,0.0,0.0,0.0,0.0,-3062100.0,0.0,0.0,0,0.0,1.0,1.0,LHD,10000.0,1.0,,10000.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,TXFA3,籓戳砯 ,0,Future,TXFA3,Future,NTD,200.0,200.0,0.0,1,N,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55400.0,0.0,615.0,80.0,120.0,0.0,0.0,0.0,0.0,0.0,55400.0,0.0,0.0,0,0.0,1.0,0.0,LHD,200.0,1.0,,200.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,TXFB3,籓戳砯 ,0,Future,TXFB3,Future,NTD,200.0,200.0,0.0,1,N,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-314000.0,129600.0,4371.0,560.0,840.0,0.0,0.0,0.0,0.0,0.0,-184400.0,0.0,0.0,-210400.0,0.0,4741.0,608.0,912.0,0.0,0.0,0.0,0.0,0.0,-210400.0,0.0,0.0,0,0.0,1.0,0.0,LHD,200.0,1.0,,200.0
2023-02-22,K44,眎丑,甅基畉ユ,甅基畉ユ,071LHD,071LHD,LHD_TW,TXFC3,籓戳砯 ,0,Future,TXFC3,Future,NTD,200.0,200.0,0.0,1,Y,,,11,15355.090909089999,33781200.0,48,15366.750000000002,147520800.0,-84,15417.69047619,-259017199.99999997,15375.0,-258300000.0,717200.0,170400.0,1232400.0,3630.0,472.0,708.0,0.0,0.0,0.0,0.0,0.0,1402800.0,0.0,0.0,1401200.0,717200.0,11752.0,1520.0,2280.0,0.0,0.0,0.0,0.0,0.0,2118400.0,0.0,0.0,1401200.0,717200.0,11752.0,1520.0,2280.0,0.0,0.0,0.0,0.0,0.0,2118400.0,0.0,0.0,0,0.0,1.0,1.0,LHD,200.0,1.0,,200.0
