DataDate,ProductCode,NAV,Price
2023-02-22,0050,117.63,117.65
2023-02-22,00631L,109.79,109.8
2023-02-22,00632R,5.4,5.41
2023-02-22,00633L,41.89,41.87
2023-02-22,00663L,101.46,101.5
2023-02-22,00664R,6.1,6.11
2023-02-22,00675L,44.15,44.15
2023-02-22,00676R,3.35,3.36
2023-02-22,00685L,39.11,39.14
2023-02-22,00686R,3.64,3.64
